latitude,longitude,altitude,salinity
41.44360376,-9.24920608,-2865.7026,
41.44360376,-9.24920608,-2533.3362,
41.44360376,-9.24920608,-2225.078,
41.44360376,-9.24920608,-1941.8934,
41.44360376,-9.24920608,-1684.2844,
41.44360376,-9.24920608,-1452.251,
41.44360376,-9.24920608,-1245.2911,
41.44360376,-9.24920608,-1062.4397,
41.44360376,-9.24920608,-902.3393,
41.44360376,-9.24920608,-763.33307,0.03616900076798629
41.44360376,-9.24920608,-643.56683,0.03610100076475647
41.44360376,-9.24920608,-541.0889,0.035880000754259525
41.44360376,-9.24920608,-453.93774,0.03572600074694492
41.44360376,-9.24920608,-380.213,0.035661000743857585
41.44360376,-9.24920608,-318.12744,0.03563400074257515
41.44360376,-9.24920608,-266.04025,0.03563100074243266
41.44360376,-9.24920608,-222.47517,0.03564400074305013
