latitude,longitude,altitude,temperature
41.44360376,-9.24920608,-7.92956,290.21800033571196
41.44360376,-9.24920608,-6.440614,290.25900033765936
41.44360376,-9.24920608,-5.0782237,290.29500033936927
41.44360376,-9.24920608,-3.8194947,290.33500034126916
41.44360376,-9.24920608,-2.6456685,290.38200034350155
41.44360376,-9.24920608,-1.5413754,290.4360003460664
41.44360376,-9.24920608,-0.49402538,290.4770003480138
41.44360376,-9.22142745,-5727.9165,
41.44360376,-9.22142745,-5274.784,
41.44360376,-9.22142745,-4833.2905,
41.44360376,-9.22142745,-4405.224,
41.44360376,-9.22142745,-3992.484,
41.44360376,-9.22142745,-3597.032,
41.44360376,-9.22142745,-3220.8203,
41.44360376,-9.22142745,-2865.7026,
41.44360376,-9.22142745,-2533.3362,
41.44360376,-9.22142745,-2225.078,
41.44360376,-9.22142745,-1941.8934,
41.44360376,-9.22142745,-1684.2844,
41.44360376,-9.22142745,-1452.251,
41.44360376,-9.22142745,-1245.2911,
41.44360376,-9.22142745,-1062.4397,
41.44360376,-9.22142745,-902.3393,
41.44360376,-9.22142745,-763.33307,
41.44360376,-9.22142745,-643.56683,
41.44360376,-9.22142745,-541.0889,
41.44360376,-9.22142745,-453.93774,
41.44360376,-9.22142745,-380.213,285.0300000892952
41.44360376,-9.22142745,-318.12744,285.12900009399743
41.44360376,-9.22142745,-266.04025,285.3800001059193
41.44360376,-9.22142745,-222.47517,285.67300011983605
41.44360376,-9.22142745,-186.12556,285.91500013133043
41.44360376,-9.22142745,-155.85072,286.1250001413049
41.44360376,-9.22142745,-130.66599,286.3230001507094
41.44360376,-9.22142745,-109.72928,286.5460001613013
41.44360376,-9.22142745,-92.32607,286.7990001733182
41.44360376,-9.22142745,-77.85385,287.0340001844801
41.44360376,-9.22142745,-65.807274,287.24500019450204
41.44360376,-9.22142745,-55.76429,287.4490002041915
41.44360376,-9.22142745,-47.373688,287.6840002153534
41.44360376,-9.22142745,-40.34405,287.95400022817773
41.44360376,-9.22142745,-34.434155,288.2880002440419
41.44360376,-9.22142745,-29.444729,288.62100025985853
41.44360376,-9.22142745,-25.211409,288.92800027444025
41.44360376,-9.22142745,-21.598816,289.21100028788203
41.44360376,-9.22142745,-18.49556,289.47300030032636
41.44360376,-9.22142745,-15.810073,289.67600030996834
41.44360376,-9.22142745,-13.467138,289.83100031733045
41.44360376,-9.22142745,-11.405003,289.94800032288765
41.44360376,-9.22142745,-9.572997,290.03200032687744
41.44360376,-9.22142745,-7.92956,290.0900003296323
41.44360376,-9.22142745,-6.440614,290.1320003316272
41.44360376,-9.22142745,-5.0782237,290.1690003333846
41.44360376,-9.22142745,-3.8194947,290.210000335332
41.44360376,-9.22142745,-2.6456685,290.25800033761186
41.44360376,-9.22142745,-1.5413754,290.3120003401767
41.44360376,-9.22142745,-0.49402538,290.3570003423141
41.44360376,-9.19364882,-5727.9165,
41.44360376,-9.19364882,-5274.784,
41.44360376,-9.19364882,-4833.2905,
41.44360376,-9.19364882,-4405.224,
41.44360376,-9.19364882,-3992.484,
41.44360376,-9.19364882,-3597.032,
41.44360376,-9.19364882,-3220.8203,
41.44360376,-9.19364882,-2865.7026,
41.44360376,-9.19364882,-2533.3362,
41.44360376,-9.19364882,-2225.078,
41.44360376,-9.19364882,-1941.8934,
41.44360376,-9.19364882,-1684.2844,
41.44360376,-9.19364882,-1452.251,
41.44360376,-9.19364882,-1245.2911,
41.44360376,-9.19364882,-1062.4397,
41.44360376,-9.19364882,-902.3393,
41.44360376,-9.19364882,-763.33307,
41.44360376,-9.19364882,-643.56683,
41.44360376,-9.19364882,-541.0889,
41.44360376,-9.19364882,-453.93774,
41.44360376,-9.19364882,-380.213,
41.44360376,-9.19364882,-318.12744,
41.44360376,-9.19364882,-266.04025,
41.44360376,-9.19364882,-222.47517,
41.44360376,-9.19364882,-186.12556,
41.44360376,-9.19364882,-155.85072,286.02500013655515
41.44360376,-9.19364882,-130.66599,286.18900014434473
41.44360376,-9.19364882,-109.72928,286.37800015332175
41.44360376,-9.19364882,-92.32607,286.61400016453115
41.44360376,-9.19364882,-77.85385,286.84400017545556
41.44360376,-9.19364882,-65.807274,287.05800018562
41.44360376,-9.19364882,-55.76429,287.263000195357
41.44360376,-9.19364882,-47.373688,287.4940002063289
41.44360376,-9.19364882,-40.34405,287.7690002193907
41.44360376,-9.19364882,-34.434155,288.0900002346374
41.44360376,-9.19364882,-29.444729,288.41700025016905
41.44360376,-9.19364882,-25.211409,288.73000026503576
41.44360376,-9.19364882,-21.598816,289.0250002790475
41.44360376,-9.19364882,-18.49556,289.3020002922043
41.44360376,-9.19364882,-15.810073,289.52200030265374
41.44360376,-9.19364882,-13.467138,289.6920003107283
41.44360376,-9.19364882,-11.405003,289.822000316903
41.44360376,-9.19364882,-9.572997,289.9200003215577
41.44360376,-9.19364882,-7.92956,289.98900032483505
41.44360376,-9.19364882,-6.440614,290.0360003270674
41.44360376,-9.19364882,-5.0782237,290.0750003289198
41.44360376,-9.19364882,-3.8194947,290.1180003309622
41.44360376,-9.19364882,-2.6456685,290.1660003332421
41.44360376,-9.19364882,-1.5413754,290.21800033571196
41.44360376,-9.19364882,-0.49402538,290.26600033799184
41.44360376,-9.16587019,-5727.9165,
41.44360376,-9.16587019,-5274.784,
41.44360376,-9.16587019,-4833.2905,
41.44360376,-9.16587019,-4405.224,
41.44360376,-9.16587019,-3992.484,
41.44360376,-9.16587019,-3597.032,
41.44360376,-9.16587019,-3220.8203,
41.44360376,-9.16587019,-2865.7026,
41.44360376,-9.16587019,-2533.3362,
41.44360376,-9.16587019,-2225.078,
41.44360376,-9.16587019,-1941.8934,
41.44360376,-9.16587019,-1684.2844,
41.44360376,-9.16587019,-1452.251,
41.44360376,-9.16587019,-1245.2911,
41.44360376,-9.16587019,-1062.4397,
41.44360376,-9.16587019,-902.3393,
41.44360376,-9.16587019,-763.33307,
41.44360376,-9.16587019,-643.56683,
41.44360376,-9.16587019,-541.0889,
41.44360376,-9.16587019,-453.93774,
41.44360376,-9.16587019,-380.213,
41.44360376,-9.16587019,-318.12744,
41.44360376,-9.16587019,-266.04025,
41.44360376,-9.16587019,-222.47517,
41.44360376,-9.16587019,-186.12556,
41.44360376,-9.16587019,-155.85072,
41.44360376,-9.16587019,-130.66599,286.081000139215
41.44360376,-9.16587019,-109.72928,286.2340001464821
41.44360376,-9.16587019,-92.32607,286.4410001563141
41.44360376,-9.16587019,-77.85385,286.65800016662104
41.44360376,-9.16587019,-65.807274,286.875000176928
41.44360376,-9.16587019,-55.76429,287.08600018694995
41.44360376,-9.16587019,-47.373688,287.32000019806435
41.44360376,-9.16587019,-40.34405,287.59600021117365
41.44360376,-9.16587019,-34.434155,287.90900022604035
41.44360376,-9.16587019,-29.444729,288.2310002413345
41.44360376,-9.16587019,-25.211409,288.54400025620123
41.44360376,-9.16587019,-21.598816,288.85100027078295
41.44360376,-9.16587019,-18.49556,289.1370002843672
41.44360376,-9.16587019,-15.810073,289.3760002957191
41.44360376,-9.16587019,-13.467138,289.56200030455364
41.44360376,-9.16587019,-11.405003,289.7030003112508
41.44360376,-9.16587019,-9.572997,289.820000316808
41.44360376,-9.16587019,-7.92956,289.91400032127274
41.44360376,-9.16587019,-6.440614,289.9720003240276
41.44360376,-9.16587019,-5.0782237,290.0140003260225
41.44360376,-9.16587019,-3.8194947,290.05900032815987
41.44360376,-9.16587019,-2.6456685,290.10700033043975
41.44360376,-9.16587019,-1.5413754,290.1610003330046
41.44360376,-9.16587019,-0.49402538,290.210000335332
41.44360376,-9.13809156,-5727.9165,
41.44360376,-9.13809156,-5274.784,
41.44360376,-9.13809156,-4833.2905,
41.44360376,-9.13809156,-4405.224,
41.44360376,-9.13809156,-3992.484,
41.44360376,-9.13809156,-3597.032,
41.44360376,-9.13809156,-3220.8203,
41.44360376,-9.13809156,-2865.7026,
41.44360376,-9.13809156,-2533.3362,
41.44360376,-9.13809156,-2225.078,
41.44360376,-9.13809156,-1941.8934,
41.44360376,-9.13809156,-1684.2844,
41.44360376,-9.13809156,-1452.251,
41.44360376,-9.13809156,-1245.2911,
41.44360376,-9.13809156,-1062.4397,
41.44360376,-9.13809156,-902.3393,
41.44360376,-9.13809156,-763.33307,
41.44360376,-9.13809156,-643.56683,
41.44360376,-9.13809156,-541.0889,
41.44360376,-9.13809156,-453.93774,
41.44360376,-9.13809156,-380.213,
41.44360376,-9.13809156,-318.12744,
41.44360376,-9.13809156,-266.04025,
41.44360376,-9.13809156,-222.47517,
41.44360376,-9.13809156,-186.12556,
41.44360376,-9.13809156,-155.85072,
