frequency,spl_le,spl_te
60.88544424128607,48.36489172182114,35.17995998971886
61.30790590113055,48.31240434129771,35.21376519960965
61.73329886674546,48.25955277018368,35.24780497139385
62.16164347738128,48.20633448149476,35.28208093260998
62.59296021341505,48.15274693071284,35.316594722089484
63.0272696973296,48.09878755566434,35.35134799003502
63.46459269469953,48.04445377639772,35.38634239809942
63.90495011518425,47.99128229828222,35.421579619465106
64.34836301352743,47.93965924216901,35.45706133892408
64.79485259056395,47.887677992693774,35.492789252958524
65.2444401942334,47.83533606448477,35.52876506982185
65.69714732060088,47.782630954925175,35.56499050962044
66.15299561488483,47.72956014403344,35.60146730439586
66.61200687249178,47.67612109434279,35.63819719820765
67.07420304005862,47.62231125077991,35.67518194721675
67.53960621650184,47.56812804054276,35.712423319769464
68.00823865407413,47.5135688729776,35.74992309648197
68.48012275942848,47.45863113945506,35.78768307032553
68.9552810946893,47.40331221324547,35.82570504671213
69.43373637853124,47.34760944939327,35.863990843580865
69.91551148726552,47.2915201845905,35.9005969058859
70.40062945593358,47.23504173704951,35.93597419244581
70.88911347940872,47.17817140637468,35.9715969489598
71.3809869135046,47.120906473433394,36.00746687865339
71.87627327609256,47.06324420022592,36.04358569657019
72.37499624822561,47.00518182975459,36.07995512965388
72.8771796752709,46.94671658589194,36.11657691683071
73.38284756804988,46.887845673247966,36.15345280909277
73.89202410398606,46.8285662770365,36.19058456958157
74.40473362826137,46.7688755629406,36.22797397367248
74.92100065497986,46.708770676977046,36.265622809059465
75.44084986833995,46.648248745359886,36.30353287584071
75.96430612381474,46.587306874363016,36.34170598660458
76.49139444933999,46.52594215018184,36.380143966516336
77.02214004651142,46.46415163879394,36.41884865340538
77.55656829178916,46.4019323858188,36.45782189785314
78.09470473771121,46.339281416376565,36.49706556328155
78.63657511411542,46.27619573494575,36.53658152604215
79.18220532936918,46.21267232522006,36.57637167550575
79.73162147160883,46.1486843308856,36.61314874129612
80.28484980998645,46.08370641178241,36.63698382731239
80.84191679592612,46.018277634844495,36.66098429620672
81.40284906438879,45.95239487173546,36.68515129550997
81.96767343514524,45.88605497241261,36.70948598071526
82.53641691405909,45.81925476497619,36.73398951533328
83.10910669437752,45.751991055517856,36.75866307094787
83.68577015803162,45.68426062796788,36.78350782727207
84.2664348769458,45.616060243941405,36.80852497220452
84.85112861435556,45.54738664258366,36.83371570188624
85.43987932613558,45.47823654041396,36.85908122075783
86.03271516213591,45.40860663116877,36.884622741617065
86.62966446752799,45.33849358564363,36.91034148567689
87.23075578416012,45.26789405153392,36.93623868262376
87.83601785192172,45.19680465327465,36.96231557067652
88.445479610118,45.125221991879,36.98857339664551
89.05917019885312,45.053142644775846,37.01501341599226
89.67711896042374,44.98407206227384,37.04163689288948
90.29935544072204,44.91891928646291,37.06001479739963
90.925909390648,44.85331443955099,37.07726095665317
91.55681076753238,44.78725438478332,37.09462678065015
92.19208973656868,44.72073596364032,37.11211309970011
92.83177667225556,44.65375599568664,37.12972074987384
93.47590215984928,44.586311278419046,37.14745057304328
94.12449699682564,44.51839858711335,37.16530341692183
94.77759219435308,44.45001467467012,37.18328013510485
95.43521897877493,44.38115627145956,37.2013815871105
96.0974087931026,44.3118200851651,37.21960863842078
96.76419329851916,44.24200280062598,37.23796216052301
97.43560437589264,44.1717010796788,37.2564430309514
98.11167412730096,44.10091156099782,37.27505213332904
98.79243487756642,44.029630859934365,37.293790357410174
99.47791917580126,43.95785556835487,37.31265859912272
100.16815979696426,43.88558225447802,37.33165776061112
100.86318974342718,43.81573441277365,37.35078875027944
101.56304224655342,43.7459313590429,37.37005248283484
102.26775076828652,43.675643967646415,37.38944987933129
102.97734900274986,43.60486887794362,37.408981867213626
