latitude,longitude,altitude,salinity
41.44360376,-9.24920608,-4833.2905,
41.44360376,-9.24920608,-4405.224,
41.44360376,-9.24920608,-3992.484,
41.44360376,-9.24920608,-3597.032,
41.44360376,-9.24920608,-3220.8203,
41.44360376,-9.24920608,-2865.7026,
41.44360376,-9.24920608,-2533.3362,
41.44360376,-9.24920608,-2225.078,
41.44360376,-9.24920608,-1941.8934,
41.44360376,-9.24920608,-1684.2844,
41.44360376,-9.24920608,-1452.251,
41.44360376,-9.24920608,-1245.2911,
41.44360376,-9.24920608,-1062.4397,
41.44360376,-9.24920608,-902.3393,
41.44360376,-9.24920608,-763.33307,0.03611500076542143
41.44360376,-9.24920608,-643.56683,0.0360480007622391
41.44360376,-9.24920608,-541.0889,0.0358920007548295
41.44360376,-9.24920608,-453.93774,0.035716000746469946
